DatumZeit,LinkKasse,LinkArtikel,Anzahl
2017-04-18,32,2054,15.0
2017-04-18,32,2057,11.0
2017-04-19,32,1216,280.0
2017-04-19,32,1218,197.0
2017-04-19,32,1219,15.0
2017-04-19,32,1221,31.0
2017-04-19,32,1222,8.0
2017-04-19,32,1224,13.0
2017-04-19,32,1570,26.0
2017-04-19,32,1939,11.0
2017-04-19,32,2054,9.0
2017-04-19,32,2057,18.0
2017-04-20,32,1216,336.0
2017-04-20,32,1218,251.0
2017-04-20,32,1219,31.0
2017-04-20,32,1221,20.0
2017-04-20,32,1222,17.0
2017-04-20,32,1224,7.0
2017-04-20,32,1570,22.0
2017-04-20,32,1939,11.0
2017-04-20,32,2054,15.0
2017-04-20,32,2057,14.0
2017-04-21,32,1216,413.0
2017-04-21,32,1218,287.0
2017-04-21,32,1219,29.0
2017-04-21,32,1221,44.0
2017-04-21,32,1222,18.0
2017-04-21,32,1224,22.0
2017-04-21,32,1570,27.0
2017-04-21,32,1939,10.0
2017-04-21,32,2054,19.0
2017-04-21,32,2057,15.0
2017-04-22,32,1216,582.0
2017-04-22,32,1218,412.0
2017-04-22,32,1219,80.0
2017-04-22,32,1221,65.0
2017-04-22,32,1222,55.0
2017-04-22,32,1224,21.0
2017-04-22,32,1570,26.0
2017-04-22,32,1939,17.0
2017-04-22,32,2054,19.0
2017-04-22,32,2057,59.0
2017-04-23,32,1216,722.0
2017-04-23,32,1218,606.0
2017-04-23,32,1219,127.0
2017-04-23,32,1221,90.0
2017-04-23,32,1222,44.0
2017-04-23,32,1224,70.0
2017-04-23,32,1570,39.0
2017-04-23,32,1939,36.0
2017-04-23,32,2054,24.0
2017-04-23,32,2057,58.0
2017-04-24,32,1216,418.0
2017-04-24,32,1218,253.0
2017-04-24,32,1219,16.0
2017-04-24,32,1221,32.0
2017-04-24,32,1222,19.0
2017-04-24,32,1224,16.0
2017-04-24,32,1570,27.0
2017-04-24,32,1939,10.0
2017-04-24,32,2054,11.0
2017-04-24,32,2057,7.0
2017-04-25,32,1216,265.0
2017-04-25,32,1218,191.0
